name,developer,publisher,release_date,negative_ratings
"PLAYERUNKNOWN'S BATTLEGROUNDS","PUBG Corporation","PUBG Corporation",2017-12-21,487076
"Counter-Strike: Global Offensive","Valve;Hidden Path Entertainment",Valve,2012-08-21,402313
"Dota 2",Valve,Valve,2013-07-09,142079
"Grand Theft Auto V","Rockstar North","Rockstar Games",2015-04-13,139308
"Z1 Battle Royale",NantG,"Daybreak Game Company",2018-02-28,91664
DayZ,"Bohemia Interactive","Bohemia Interactive",2018-12-13,77169
"ARK: Survival Evolved","Studio Wildcard;Instinct Games;Efecto Studios;Virtual Basement LLC","Studio Wildcard",2017-08-27,66603
"Tom Clancy's Rainbow Six® Siege","Ubisoft Montreal",Ubisoft,2015-12-01,59620
"PAYDAY 2","OVERKILL - a Starbreeze Studio.","Starbreeze Publishing AB",2013-08-13,56523
"No Man's Sky","Hello Games","Hello Games",2016-08-12,56488
